eid,doi,title,subtype,subtypeDescription,creator,affilname,affiliation_city,affiliation_country,coverDate,coverDisplayDate,publicationName,issn,source_id,aggregationType,authkeywords,citedby_count,openaccess
2-s2.0-105003323890,10.1007/978-3-031-61014-1,"Internet Computing: Principles of Distributed Systems and Emerging Internet-Based Technologies, Second Edition",bk,Book,Sunyaev A.,Karlsruher Institut für Technologie,Karlsruhe,Germany,2024-01-01,1 January 2024,"Internet Computing: Principles of Distributed Systems and Emerging Internet-Based Technologies, Second Edition",,21101290381,Book,,5,0
2-s2.0-105003020268,10.4324/9781003293804,Music and Science: A Guide to Empirical Music Research,bk,Book,Eerola T.,Durham University,Durham,United Kingdom,2024-01-01,1 January 2024,Music and Science: A Guide to Empirical Music Research,,21101289127,Book,,1,0
2-s2.0-105002201412,10.1016/C2023-0-00962-1,Maintenance Engineering for Buildings: Digital Solutions and Sustainable Practices,bk,Book,Ngcobo N.,University of Johannesburg,Johannesburg,South Africa,2024-01-01,1 January 2024,Maintenance Engineering for Buildings: Digital Solutions and Sustainable Practices,,21101287563,Book,,0,0
2-s2.0-105001975516,10.1007/978-3-031-69216-1,Libraries in Transformation: Navigating to AI-Powered Libraries,ch,Book Chapter,Meesad P.,King Mongkut's University of Technology North Bangkok,Bangkok,Thailand,2024-01-01,2024,Studies in Big Data,21976503,21101054326,Book Series,,5,0
2-s2.0-85180554033,10.3390/info14120666,Formal Methods and Validation Techniques for Ensuring Automotive Systems Security,re,Review,Krichen M.,Al Baha University;University of Sfax,Al Aqiq;Sfax,Saudi Arabia;Tunisia,2023-12-01,December 2023,Information (Switzerland),,21100223111,Journal,,9,1
2-s2.0-85184952293,10.1007/978-981-99-8207-3,Navigating complexity: Understanding human responses to multifaceted disasters,bk,Book,Ao Y.,Chengdu University of Technology,Chengdu,China,2023-11-27,27 November 2023,Navigating Complexity: Understanding Human Responses to Multifaceted Disasters,,21101231653,Book,,2,0
2-s2.0-85178046121,10.1371/journal.pone.0288771,Systems that support hearing families with deaf children: A scoping review,ar,Article,Terry J.,Swansea University,Swansea,United Kingdom,2023-11-01,November 2023,PLoS ONE,,10600153309,Journal,,2,1
2-s2.0-85178574433,10.4018/9781668491720,Enhancing employee engagement and productivity in the post-pandemic multigenerational workforce,bk,Book,Even A.M.,Purdue University,West Lafayette,United States,2023-10-30,30 October 2023,Enhancing Employee Engagement and Productivity in the Post-Pandemic Multigenerational Workforce,,21101189172,Book,,1,0
2-s2.0-85177610748,10.4018/9798369303733,"Management, technology, and economic growth in smart and sustainable cities",bk,Book,Ruiz-Vanoye J.A.,Universidad Politécnica de Pachuca,Pachuca,Mexico,2023-10-24,24 October 2023,"Management, Technology, and Economic Growth in Smart and Sustainable Cities",,21101187906,Book,,0,0
2-s2.0-85175664827,10.4018/979-8-3693-0458-7,"Innovation, strategy, and transformation frameworks for the modern enterprise",bk,Book,Correia A.,Escola Naval,Almada,Portugal,2023-10-11,11 October 2023,"Innovation, Strategy, and Transformation Frameworks for the Modern Enterprise",,21101185323,Book,,0,0
2-s2.0-85175667493,10.4018/979-8-3693-1380-0,Transformational Leadership Styles for Global Leaders: Management and Communication Strategies,bk,Book,Roache D.A.M.,University Canada West,Vancouver,Canada,2023-09-26,26 September 2023,Transformational Leadership Styles for Global Leaders: Management and Communication Strategies,,21101185309,Book,,0,0
2-s2.0-85175384587,10.4018/978-1-6684-9151-5,"Effective AI, blockchain, and E-governance applications for knowledge discovery and management",bk,Book,Kumar R.,Infrastructure University,Kuala Lumpur,Malaysia,2023-09-25,25 September 2023,"Effective AI, Blockchain, and E-Governance Applications for Knowledge Discovery and Management",,21101184800,Book,,65,0
2-s2.0-85174431913,10.4018/978-1-6684-8691-7,"Real-world solutions for diversity, strategic change, and organizational development: Perspectives in healthcare, education, business, and technology",bk,Book,Burrell D.N.,Marymount University,Arlington,United States,2023-09-11,11 September 2023,"Real-World Solutions for Diversity, Strategic Change, and Organizational Development: Perspectives in Healthcare, Education, Business, and Technology",,21101183584,Book,,2,0
2-s2.0-85171362695,,Remote Patient Monitoring: A Computational Perspective in Healthcare,bk,Book,Malviya R.,Galgotias University,Greater Noida,India,2023-08-12,12 August 2023,Remote Patient Monitoring: A Computational Perspective in Healthcare,,21101177602,Book,,4,0
2-s2.0-85164740352,10.1016/j.technovation.2023.102819,Does the world need to change its vaccine distribution strategy for COVID-19?,ar,Article,Sharma R.,University of Wollongong in Dubai,Dubai,United Arab Emirates,2023-08-01,August 2023,Technovation,01664972,14726,Journal,,3,0
2-s2.0-85167747715,10.4018/978-1-6684-7874-5.ch012,Information and communication systems and technologies in health,ch,Book Chapter,Gomes J.V.,Universidade Lusófona das Humanidades e Tecnologias,,Portugal,2023-07-24,24 July 2023,"Global Science's Cooperation Opportunities, Challenges, and Good Practices",,21101171054,Book,,0,0
2-s2.0-85179014178,10.4018/IJMCMC.326129,Using Eye Tracking to Measure Overall Usability of Online Grocery Shopping Websites,ar,Article,Naeini A.B.,Iran University of Science and Technology,Tehran,Iran,2023-07-14,14 July 2023,International Journal of Mobile Computing and Multimedia Communications,19379412,19700186844,Journal,,9,1
2-s2.0-85164178905,10.1007/s10664-023-10332-9,Much more than a prediction: Expert-based software effort estimation as a behavioral act,ar,Article,Matsubara P.G.F.,Universidade Federal de Mato Grosso do Sul,Campo Grande,Brazil,2023-07-01,July 2023,Empirical Software Engineering,13823256,18650,Journal,,3,0
2-s2.0-85152949127,10.1016/j.technovation.2023.102759,The impact of evolved psychological mechanisms on innovation and adoption: A systematic literature review,ar,Article,Stroh T.,RMIT University,Melbourne,Australia,2023-07-01,July 2023,Technovation,01664972,14726,Journal,,8,1
2-s2.0-85163852501,10.1145/3585004,Modern Code Reviews - Survey of Literature and Practice,ar,Article,Badampudi D.,Blekinge Tekniska Högskola,Karlskrona,Sweden,2023-05-26,26 May 2023,ACM Transactions on Software Engineering and Methodology,1049331X,18121,Journal,,19,0
2-s2.0-85163430658,10.4018/978-1-6684-7353-5,Perspectives on workplace communication and well-being in hybrid work environments,bk,Book,Duarte A.,Universidade Nova de Lisboa,Lisbon,Portugal,2023-05-08,8 May 2023,Perspectives on Workplace Communication and Well-Being in Hybrid Work Environments,,21101161787,Book,,0,0
2-s2.0-85163471250,10.4018/978-1-6684-7105-0,Handbook of research on AI and machine learning applications in customer support and analytics,bk,Book,Hossain M.S.,Hajee Mohammad Danesh Science and Technology University,Dinajpur,Bangladesh,2023-05-02,2 May 2023,Handbook of Research on AI and Machine Learning Applications in Customer Support and Analytics,,21101161626,Book,,0,0
2-s2.0-85162863225,,Compilation of References,ch,Book Chapter,,,,,2023-05-01,1 May 2023,"Multidisciplinary Approaches in AI, Creativity, Innovation, and Green Collaboration",,21101160643,Book,,0,0
2-s2.0-85150311441,10.1002/14651858.CD013274.pub2,"Consumers’ and health providers’ views and perceptions of partnering to improve health services design, delivery and evaluation: a co-produced qualitative evidence synthesis",ar,Article,Merner B.,La Trobe University,Melbourne,Australia,2023-03-14,14 March 2023,Cochrane Database of Systematic Reviews,14651858,29775,Journal,,17,0
2-s2.0-85127542486,10.1145/3485128,Tackling Climate Change with Machine Learning,re,Review,Rolnick D.,Montreal Institute for Learning Algorithms;Université McGill,Montreal;Montreal,Canada;Canada,2023-02-28,March 2023,ACM Computing Surveys,03600300,23038,Journal,,413,0
2-s2.0-85146165993,10.17226/26410,Oil in the sea IV,bk,Book,,,,,2023-01-22,22 January 2023,Oil in the Sea IV,,21101140476,Book,,16,0
2-s2.0-85145343586,10.17226/26335,An approach for assessing U.S. gulf coast ecosystem restoration,bk,Book,,,,,2023-01-19,19 January 2023,An Approach for Assessing U.S. Gulf Coast Ecosystem Restoration,,21101129737,Book,,6,0
2-s2.0-85197023042,10.1007/978-3-031-43383-2,Usable Privacy and Security in Online Public Services,bk,Book,Ben E.R.,Faculty of Business,Wildau,Germany,2023-01-01,1 January 2023,Usable Privacy and Security in Online Public Services,,21101231952,Book,,0,0
2-s2.0-85196449166,10.1007/978-981-99-4917-5,Deep Technology for Sustainable Fisheries and Aquaculture,bk,Book,Rahimi-Midani A.,Poseidon-AI PTE Limited,Singapore City,Singapore,2023-01-01,1 January 2023,Deep Technology for Sustainable Fisheries and Aquaculture,,21101230262,Book,,4,0
2-s2.0-85191241912,10.1017/9781108638838,DATA SCIENCE AND HUMANENVIRONMENT SYSTEMS,bk,Book,Manson S.M.,University of Minnesota Twin Cities,Minneapolis,United States,2023-01-01,1 January 2023,Data Science and Humanenvironment Systems,,21101225047,Book,,2,0
2-s2.0-85186961192,10.1007/978-3-031-30214-5,"Digital Enterprises: Service-Focused, Digitally-Powered, Data-Fueled",ch,Book Chapter,Proper H.A.,Technische Universität Wien,Vienna,Austria,2023-01-01,2023,Enterprise Engineering Series,18678920,21100981037,Book Series,,2,0
2-s2.0-85181654265,10.1007/978-3-031-26727-7,"Pediatric Overweight and Obesity: Comorbidities, Trajectories, Prevention and Treatments",bk,Book,Moya M.,Universidad Miguel Hernández de Elche,Elche,Spain,2023-01-01,1 January 2023,"Pediatric Overweight and Obesity: Comorbidities, Trajectories, Prevention and Treatments",,21101212121,Book,,2,0
2-s2.0-85175392057,10.1016/C2020-0-04117-4,Low Vision: Principles and Management,bk,Book,Dickinson C.,"Faculty of Biology, Medicine and Health",Manchester,United Kingdom,2023-01-01,1 January 2023,Low Vision: Principles and Management,,21101185031,Book,,3,0
2-s2.0-85173377034,10.1007/978-3-031-14447-9,The Palgrave Handbook of Disability and Communication,bk,Book,Jeffress M.S.,Medical University of the Americas,Charlestown,Saint Kitts and Nevis,2023-01-01,1 January 2023,The Palgrave Handbook of Disability and Communication,,21101180804,Book,,0,0
2-s2.0-85168498143,10.1201/9781003390008-11,The Practice of Exposure Assessment,ch,Book Chapter,Paustenbach D.J.,Paustenbach and Associates,Jackson,United States,2023-01-01,1 January 2023,"Hayes’ Principles and Methods of Toxicology: Volume I, Seventh Edition",,21101172086,Book,,1,0
2-s2.0-85160115355,10.1201/9781003359128,"Human Factors Engineering and Ergonomics: A Systems Approach, Third edition",bk,Book,Guastello S.J.,Klingler College of Arts and Sciences,Milwaukee,United States,2023-01-01,1 January 2023,"Human Factors Engineering and Ergonomics: A Systems Approach, Third edition",,21101153782,Book,,10,0
2-s2.0-85156219381,10.1201/9781003354628,Ecology and Management of Black-tailed and Mule Deer of North America,bk,Book,Heffelfinger J.R.,The University of Arizona,Tucson,United States,2023-01-01,1 January 2023,Ecology and Management of Black-Tailed and Mule Deer of North America,,21101150243,Book,,2,0
2-s2.0-85152583056,10.1007/978-3-662-65658-7,Restoration of Ecosystems - Bridging Nature and Humans: A Transdisciplinary Approach,bk,Book,Zerbe S.,Free University of Bozen-Bolzano,Bolzano,Italy,2023-01-01,1 January 2023,Restoration of Ecosystems - Bridging Nature and Humans: A Transdisciplinary Approach,,21101158273,Book,,18,0
2-s2.0-85152169289,10.2196/42161,Digital Health Technologies for Maternal and Child Health in Africa and Other Low- And Middle-Income Countries: Cross-disciplinary Scoping Review with Stakeholder Consultation,re,Review,Till S.,University of Cape Town;Independent Institute of Education,Cape Town;Durban,South Africa;South Africa,2023-01-01,2023,Journal of Medical Internet Research,,23709,Journal,,23,1
2-s2.0-85145979749,10.3390/s23010062,Deep Learning in Diverse Intelligent Sensor Based Systems,re,Review,Zhu Y.,UNSW Sydney,Sydney,Australia,2023-01-01,January 2023,Sensors,14248220,130124,Journal,,30,1
2-s2.0-85209469026,10.1016/j.caeo.2022.100080,Technology Use for Teacher Professional Development in Low- and Middle-Income Countries: A systematic review,ar,Article,Hennessy S.,The Faculty of Education,Cambridge,United Kingdom,2022-12-01,December 2022,Computers and Education Open,,21101259019,Journal,,98,1
2-s2.0-85136077264,10.1016/j.im.2022.103698,Mixed reality experiences in museums: Exploring the impact of functional elements of the devices on visitors’ immersive experiences and post-experience behaviours,ar,Article,Trunfio M.,Parthenope University of Naples,Naples,Italy,2022-12-01,December 2022,Information and Management,03787206,12303,Journal,,73,0
2-s2.0-85135950033,10.1016/j.jbusres.2022.08.019,Digital transformation of organization using AI-CRM: From microfoundational perspective with leadership support,ar,Article,Chatterjee S.,Indian Institute of Technology Kharagpur,Kharagpur,India,2022-12-01,December 2022,Journal of Business Research,01482963,20550,Journal,,74,0
2-s2.0-85141482681,10.1016/j.patter.2022.100602,Modern views of machine learning for precision psychiatry,re,Review,Chen Z.S.,NYU Tandon School of Engineering;NYU Grossman School of Medicine,New York;New York,United States;United States,2022-11-11,11 November 2022,Patterns,,21101028388,Journal,,84,0
2-s2.0-85114151200,10.1017/dmp.2021.164,Developing Public Health Emergency Response Leaders in Incident Management: A Scoping Review of Educational Interventions,re,Review,Li Y.,CNA,Arlington,United States,2022-10-31,31 October 2022,Disaster Medicine and Public Health Preparedness,19357893,11600153403,Journal,,6,0
2-s2.0-85161555894,,Compilation of references,ch,Book Chapter,,,,,2022-10-07,7 October 2022,Handbook of Research on Sustainable Tourism and Hotel Operations in Global Hypercompetition,,21101156923,Book,,0,0
2-s2.0-85140943169,10.2196/37980,The Definitions of Health Apps and Medical Apps From the Perspective of Public Health and Law: Qualitative Analysis of an Interdisciplinary Literature Overview,re,Review,Maaß L.,Universität Bremen;Leibniz ScienceCampus Digital Public Health,Bremen;Bremen,Germany;Germany,2022-10-01,1 October 2022,JMIR mHealth and uHealth,,21100893578,Journal,,49,1
2-s2.0-85140933127,10.3390/s22207824,"A Review of AI Cloud and Edge Sensors, Methods, and Applications for the Recognition of Emotional, Affective and Physiological States",re,Review,Kaklauskas A.,Vilniaus Gedimino Technikos Universitetas,Vilnius,Lithuania,2022-10-01,October 2022,Sensors,14248220,130124,Journal,,26,1
2-s2.0-85139279760,10.1016/j.eprac.2022.08.002,American Association of Clinical Endocrinology Clinical Practice Guideline: Developing a Diabetes Mellitus Comprehensive Care Plan—2022 Update,ar,Article,Blonde L.,Ochsner Health,New Orleans,United States,2022-10-01,October 2022,Endocrine Practice,1530891X,26032,Journal,,295,0
2-s2.0-85152750720,,The development of open government data: Connecting supply and demand through portals,bk,Book,Wang D.,Wuhan University,Wuhan,China,2022-07-15,15 July 2022,The Development of Open Government Data: Connecting Supply and Demand Through Portals,,21101146641,Book,,2,0
2-s2.0-85123082516,10.1016/j.ijforecast.2021.11.001,Forecasting: theory and practice,re,Review,Petropoulos F.,"University of Bath, School of Management",Bath,United Kingdom,2022-07-01,1 July 2022,International Journal of Forecasting,01692070,22706,Journal,,499,0
2-s2.0-85161047747,,Compilation of references,ch,Book Chapter,,,,,2022-06-03,3 June 2022,Handbook of Research on Global Networking Post COVID-19,,21101156015,Book,,0,0
2-s2.0-85134714473,,"Introduction to OLJ Volume 26, Issue 3",ed,Editorial,Shea P.,State University of New York Albany,Albany,United States,2022-06-01,June 2022,Online Learning Journal,24725749,21100815426,Journal,,0,0
2-s2.0-85121964427,10.1016/j.techfore.2021.121445,"Gamification and e-learning for young learners: A systematic literature review, bibliometric analysis, and future research agenda",ar,Article,Behl A.,Fortune Institute of International Business,New Delhi,India,2022-03-01,March 2022,Technological Forecasting and Social Change,00401625,14704,Journal,,163,0
2-s2.0-85192778485,10.1007/9783030912475,Digital towns: Accelerating and measuring the digital transformation of rural societies and economies,bk,Book,Lynn T.,DCU Business School,Dublin,Ireland,2022-02-10,10 February 2022,Digital Towns: Accelerating and Measuring the Digital Transformation of Rural Societies and Economies,,21101221574,Book,,16,0
2-s2.0-85126154332,,Artificial Intelligence for Healthcare Applications and Management,bk,Book,Galitsky B.,Oracle Corporation,Austin,United States,2022-01-19,19 January 2022,Artificial Intelligence for Healthcare Applications and Management,,21101281737,Book,,2,0
2-s2.0-85194730874,10.1017/9781009157964.007,"Changing Ocean, Marine Ecosystems, and Dependent Communities",ch,Book Chapter,Bindoff N.L.,University of Tasmania,Hobart,Australia,2022-01-01,1 January 2022,The Ocean and Cryosphere in a Changing Climate: Special Report of the Intergovernmental Panel on Climate Change,,21101225794,Book,,380,0
2-s2.0-85169346768,10.1016/C2020-0-02208-5,"Radioactivity: History, Science, Vital Uses and Ominous Peril",bk,Book,L'Annunziata M.F.,"International Atomic Energy Agency, Vienna",Vienna,Austria,2022-01-01,1 January 2022,"Radioactivity: History, Science, Vital Uses and Ominous Peril",,21101174906,Book,,1,0
2-s2.0-85166170658,10.4324/9781003222583,Designing Smart and Resilient Cities for a Post-Pandemic World: Metropandemic Revolution,bk,Book,Larsson A.,Stockholm Chamber of Commerce,Commerce,Sweden,2022-01-01,1 January 2022,Designing Smart and Resilient Cities for a Post-Pandemic World: Metropandemic Revolution,,21101168770,Book,,3,0
2-s2.0-85166065387,10.1002/9781119861775,Cyber Threat Intelligence,bk,Book,Lee M.,,,,2022-01-01,1 January 2022,Cyber Threat Intelligence,,21101168760,Book,,8,0
2-s2.0-85153925166,10.1007/978-3-658-37182-1,Safety and Security of Cyber-Physical Systems: Engineering dependable Software using Principle-based Development,bk,Book,Furrer F.J.,Technische Universität Dresden,Dresden,Germany,2022-01-01,1 January 2022,Safety and Security of Cyber-Physical Systems: Engineering dependable Software using Principle-based Development,,21101158539,Book,,6,0
2-s2.0-85151791321,10.1561/1100000088,Human-Computer Interaction in Industry: A Systematic Review on the Applicability and Value-added of Operator Assistance Systems,re,Review,Moencks M.,Department of Engineering,Cambridge,United Kingdom,2022-01-01,2022,Foundations and Trends in Human-Computer Interaction,15513955,9000153101,Journal,,11,1
2-s2.0-85150106907,10.1016/C2021-0-03320-4,Principles of Cognitive Rehabilitation,bk,Book,Nejati V.,Shahid Beheshti University,Tehran,Iran,2022-01-01,1 January 2022,Principles of Cognitive Rehabilitation,,21101141362,Book,,12,0
2-s2.0-85138548323,10.1007/978-3-030-97359-9,Migraine in Medicine: A Machine-Generated Overview of Current Research,bk,Book,Martelletti P.,Sapienza Università di Roma,Rome,Italy,2022-01-01,1 January 2022,Migraine in Medicine: A Machine-Generated Overview of Current Research,,21101162351,Book,,6,0
2-s2.0-85137572386,10.1007/978-3-030-87828-3,Environmental Noise Control: The Indian Perspective in an International Context,bk,Book,Garg N.,CSIR-National Physical Laboratory,New Delhi,India,2022-01-01,1 January 2022,Environmental Noise Control: The Indian Perspective in an International Context,,21101148917,Book,,31,0
2-s2.0-85135689019,10.3233/AIS-220101,"Probabilistic data structures in smart city: Survey, applications, challenges, and research directions",ar,Article,Kumar M.,Dr. B.R. Ambedkar National Institute of Technology,Jalandhar,India,2022-01-01,2022,Journal of Ambient Intelligence and Smart Environments,18761364,19700186867,Journal,,16,1
2-s2.0-85134712184,10.1201/9781003260141,Social Data Analytics,bk,Book,Beheshti A.,Macquarie University,Sydney,Australia,2022-01-01,1 January 2022,Social Data Analytics,,21101224710,Book,,16,0
2-s2.0-85132952453,,"Handbook of research on developing circular, digital, and green economies in Asia",bk,Book,de Pablos P.O.,Universidad de Oviedo,Oviedo,Spain,2022-01-01,1 January 2022,"Handbook of Research on Developing Circular, Digital, and Green Economies in Asia",,21101093614,Book,,1,0
2-s2.0-85130779536,10.1109/ACCESS.2022.3173745,Systematic Literature Mapping of User Story Research,re,Review,Amna A.R.,Universitas 17 Agustus 1945 Surabaya;Universiteit Gent,Surabaya;Ghent,Indonesia;Belgium,2022-01-01,2022,IEEE Access,,21100374601,Journal,,25,1
2-s2.0-85129824764,10.17226/26526,"THE NATIONAL IMPERATIVE TO IMPROVE: NURSING HOME QUALITY: Honoring Our Commitment to Residents, Families, and Staff",bk,Book,,,,,2022-01-01,1 January 2022,"The National Imperative to Improve: Nursing Home Quality: Honoring Our Commitment to Residents, Families, and Staff",,21101127996,Book,,90,0
2-s2.0-85122584389,10.1109/ACCESS.2022.3140475,Systematic Mapping Study on RFID Technology,ar,Article,Haibi A.,International University of Rabat;Université Moulay Ismaïl,Sale;Meknes,Morocco;Morocco,2022-01-01,2022,IEEE Access,,21100374601,Journal,,24,1
2-s2.0-105002808318,10.1007/978-981-19-3167-3,"ICT, Cities, and Reaching Positive Peace",ch,Book Chapter,Cheshmehzangi A.,University of Nottingham Ningbo China,Ningbo,China,2022-01-01,2022,Urban Sustainability,27316483,21101260638,Book Series,,3,0
2-s2.0-85121989382,10.2196/25743,"Methods to Generate Innovative Research Ideas and Improve Patient and Public Involvement in Modern Epidemiological Research: Review, Patient Viewpoint, and Guidelines for Implementation of a Digital Cohort Study",re,Review,Aguayo G.A.,Luxembourg Institute of Health,Strassen,Luxembourg,2021-12-01,December 2021,Journal of Medical Internet Research,,23709,Journal,,16,1
2-s2.0-85121106219,10.3390/ijerph182413278,Medical prognosis of infectious diseases in nursing homes by applying machine learning on clinical data collected in cloud microservices,ar,Article,Garcés-Jiménez A.,Universidad Francisco de Vitoria;Hospital Universitario Príncipe de Asturias,Pozuelo de Alarcon;Alcala de Henares,Spain;Spain,2021-12-01,December-2 2021,International Journal of Environmental Research and Public Health,16617827,144989,Journal,,7,1
2-s2.0-85114865886,10.1002/cl2.1175,"Health, social care and technological interventions to improve functional ability of older adults living at home: An evidence and gap map",ar,Article,Welch V.,Institut de Recherche Bruyère,Ottawa,Canada,2021-09-01,September 2021,Campbell Systematic Reviews,18911803,21100936623,Journal,,23,0
2-s2.0-85114855595,10.1002/cl2.1149,Using big data for evaluating development outcomes: A systematic map,ar,Article,Rathinam F.,Athena Infonomics,Chennai,India,2021-09-01,September 2021,Campbell Systematic Reviews,18911803,21100936623,Journal,,12,1
2-s2.0-85122115351,10.4324/9781003027126,Sustainable urbanism in China,bk,Book,Cheshmehzangi A.,University of Nottingham Ningbo China;Hiroshima University,Ningbo;Higashihiroshima,China;Japan,2021-08-12,12 August 2021,Sustainable Urbanism in China,,21101071022,Book,,38,0
2-s2.0-85127663012,10.4018/978-1-6684-2414-8,Research Anthology on Improving Health Literacy Through Patient Communication and Mass Media,bk,Book,,,,,2021-07-16,16 July 2021,Research Anthology on Improving Health Literacy Through Patient Communication and Mass Media,,21101083626,Book,,0,0
2-s2.0-85128143850,10.4018/9781799869856,Handbook of research on applied data science and artificial intelligence in business and industry,bk,Book,Chkoniya V.,Universidade de Aveiro,Aveiro,Portugal,2021-06-25,25 June 2021,Handbook of Research on Applied Data Science and Artificial Intelligence in Business and Industry,,21101085202,Book,,3,0
2-s2.0-85128140909,10.4018/9781799872269,Trends and developments for the future of language education in higher education,bk,Book,Xiang C.H.,London School of Economics and Political Science,London,United Kingdom,2021-06-25,25 June 2021,Trends and Developments for the Future of Language Education in Higher Education,,21101085246,Book,,0,0
2-s2.0-85128060590,10.4018/978-1-7998-6975-7,Handbook of research on advancing cybersecurity for digital transformation,bk,Book,Sandhu K.,University of New England Australia,Armidale,Australia,2021-06-18,18 June 2021,Handbook of Research on Advancing Cybersecurity for Digital Transformation,,21101084736,Book,,8,0
2-s2.0-85119839847,10.4018/978-1-7998-7231-3,"Big data analytics for improved accuracy, efficiency, and decision making in digital marketing",bk,Book,Singh A.,"Chitkara University, Punjab",Rajpura,India,2021-06-18,18 June 2021,"Big Data Analytics for Improved Accuracy, Efficiency, and Decision Making in Digital Marketing",,21101071200,Book,,13,0
2-s2.0-85119860650,10.4018/978-1-7998-3850-0,Visibilities and invisibilities in smart cities: Emerging research and opportunities,bk,Book,McKenna H.P.,AmbientEase,Victoria,Canada,2021-06-11,11 June 2021,Visibilities and Invisibilities in Smart Cities: Emerging Research and Opportunities,,21101080528,Book,,6,0
2-s2.0-85108845239,10.2196/15654,Challenges with developing secure mobile health applications: Systematic review,re,Review,Aljedaani B.,The University of Adelaide;Umm Al-Qura University,Adelaide;Makkah,Australia;Saudi Arabia,2021-06-01,June 2021,JMIR mHealth and uHealth,,21100893578,Journal,,50,1
2-s2.0-85104088916,10.1016/j.ecoser.2021.101267,Progress in ecosystem services research: A guide for scholars and practitioners,re,Review,Torres A.V.,University of North Texas,Denton,United States,2021-06-01,June 2021,Ecosystem Services,22120416,21100218523,Journal,,93,0
2-s2.0-85111873404,10.17226/25912,Cultivating interest and competencies in computing,bk,Book,Means B.M.,Digital Promise,San Mateo,United States,2021-05-01,1 May 2021,Cultivating Interest and Competencies in Computing,,21101054828,Book,,23,0
2-s2.0-85105424586,10.3390/su13094672,An ism modeling of barriers for blockchain/distributed ledger technology adoption in supply chains towards cybersecurity,ar,Article,Etemadi N.,"Faculteit Techniek, Bestuur en Management, TU Delft;Università Carlo Cattaneo",Delft;Castellanza,Netherlands;Italy,2021-05-01,1 May 2021,Sustainability (Switzerland),,21100240100,Journal,,62,1
2-s2.0-85102586381,10.1002/alr.22741,International consensus statement on allergy and rhinology: rhinosinusitis 2021,re,Review,Orlandi R.R.,The University of Utah,Salt Lake City,United States,2021-03-01,March 2021,International Forum of Allergy and Rhinology,20426976,21100202148,Journal,,615,0
2-s2.0-85076400306,10.1037/emo0000713,"Childhood anxiety sensitivity, fear downregulation, and anxious behaviors: Vagal suppression as a moderator of risk.",ar,Article,Viana A.G.,University of Houston,Houston,United States,2021-03-01,March 2021,Emotion,15283542,14075,Journal,,13,1
2-s2.0-85104045860,10.1037/str0000222,Will mindful employees benefit from positive work reflection triggered by transformational leadership? A two-study examination.,ar,Article,Xu X.,Old Dominion University,Norfolk,United States,2021-02-01,February 2021,International Journal of Stress Management,10725245,14761,Journal,,12,0
2-s2.0-85193370036,10.1017/9781108768351,"State of the Apes: Killing, Capture, Trade and Conservation",bk,Book,,,,,2021-01-01,1 January 2021,"State of the Apes: Killing, Capture, Trade and Conservation",,21101223257,Book,,3,0
2-s2.0-85186809110,10.1108/9781800436022,CO-CREATION AND SMART CITIES: LOOKING BEYOND TECHNOLOGY,bk,Book,Graaf S.V.D.,Universiteit Twente,Enschede,Netherlands,2021-01-01,1 January 2021,Co-Creation and Smart Cities: Looking beyond Technology,,21101205532,Book,,4,0
2-s2.0-85151756911,10.1002/9781119724247,Dental Neuroimaging: The Role of the Brain in Oral Functions,bk,Book,Lin C.S.,National Yang Ming Chiao Tung University,Hsinchu,Taiwan,2021-01-01,1 January 2021,Dental Neuroimaging: The Role of the Brain in Oral Functions,,21101144998,Book,,3,0
2-s2.0-85143490502,10.1007/978-3-030-46765-4,"Global Midwifery: Principles, Policy and Practice",bk,Book,Kemp J.,The Royal College of Midwives,London,United Kingdom,2021-01-01,1 January 2021,"Global Midwifery: Principles, Policy and Practice",,21101138284,Book,,15,0
2-s2.0-85129065650,10.1016/B978-0-12-820477-1.01001-9,"Food Security, Poverty and Nutrition Policy Analysis: Statistical Methods and Applications",bk,Book,Babu S.C.,University of Pretoria;International Food Policy Research Institute,"Pretoria;Washington, D.C.",South Africa;United States,2021-01-01,1 January 2021,"Food Security, Poverty and Nutrition Policy Analysis: Statistical Methods and Applications",,21101087521,Book,,1,0
2-s2.0-85117295707,10.1109/ACCESS.2021.3119746,A Literature Review of Using Machine Learning in Software Development Life Cycle Stages,re,Review,Shafiq S.,Johannes Kepler University Linz,Linz,Austria,2021-01-01,2021,IEEE Access,,21100374601,Journal,,44,1
2-s2.0-85115880613,10.17705/1CAIS.04906,Leveraging market research techniques in is: A review and framework of conjoint analysis studies in the is discipline,ar,Article,Naous D.,Université de Lausanne (UNIL),Lausanne,Switzerland,2021-01-01,2021,Communications of the Association for Information Systems,15293181,19300156904,Journal,,7,0
2-s2.0-85113227349,10.1016/C2020-0-02576-4,Smart Product-Service Systems,bk,Book,Zheng P.,School of Mechanical and Aerospace Engineering;The Hong Kong Polytechnic University,Singapore City;Hong Kong,Singapore;Hong Kong,2021-01-01,1 January 2021,Smart Product-Service Systems,,21101103840,Book,,10,0
2-s2.0-85107845393,10.1007/978-3-030-71115-3_19,Determination of Competitive Management Perception in Family Business Leaders Using Data Mining,ch,Book Chapter,Vélez-Bedoya Á.R.,Fundación Universitaria CEIPA,Sabaneta,Colombia,2021-01-01,2021,Studies in Computational Intelligence,1860949X,4900152708,Book Series,,1,0
