Authors,Author full names,Author(s) ID,title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,doi,Link,Document Type,Publication Stage,Open Access,Source,EID
Fallon M.B.,"Fallon, Michael B. (7103053128)",7103053128,Issue Highlights,2016,Clinical Gastroenterology and Hepatology,14,12,,1675,1677,2,0,10.1016/j.cgh.2016.10.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995704284&doi=10.1016%2fj.cgh.2016.10.010&partnerID=40&md5=314a7a978ec3e14a907b161a908d0990,Note,Final,,Scopus,2-s2.0-84995704284
Méndez-Porras A.; Quesada-López C.; Jenkins M.,"Méndez-Porras, Abel (56355200300); Quesada-López, Christian (56380571400); Jenkins, Marcelo (23094218000)",56355200300; 56380571400; 23094218000,Automated testing of mobile applications: A systematic map and review,2015,CIBSE 2015 - XVIII Ibero-American Conference on Software Engineering,,,,195,208,13,26,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936073784&partnerID=40&md5=84db3704c03d0f56599038ba8fca8d89,Conference paper,Final,,Scopus,2-s2.0-84936073784
Dinnes J.; Matin R.N.; Moreau J.F.; Patel L.; Chan S.A.; Chuchu N.; Bayliss S.E.; Grainge M.; Takwoingi Y.; Davenport C.; Walter F.M.; Fleming C.; Schofield J.; Shroff N.; Godfrey K.; O'Sullivan C.; Deeks J.J.; Williams H.C.,"Dinnes, Jac (8780114700); Matin, Rubeta N. (15760199600); Moreau, Jacqueline F. (55668781900); Patel, Lopa (57204280265); Chan, Sue Ann (58404147300); Chuchu, Naomi (57195507595); Bayliss, Susan E. (35510212300); Grainge, Matthew (6602521073); Takwoingi, Yemisi (57205105485); Davenport, Clare (7005925668); Walter, Fiona M. (7103067740); Fleming, Colin (17634485600); Schofield, Julia (56649698900); Shroff, Neil (57200571292); Godfrey, Kathie (57190388618); O'Sullivan, Colette (57195507045); Deeks, Jonathan J. (7006087510); Williams, Hywel C. (23500447000)",8780114700; 15760199600; 55668781900; 57204280265; 58404147300; 57195507595; 35510212300; 6602521073; 57205105485; 7005925668; 7103067740; 17634485600; 56649698900; 57200571292; 57190388618; 57195507045; 7006087510; 23500447000,Tests to assist in the diagnosis of cutaneous melanoma in adults: A generic protocol,2015,Cochrane Database of Systematic Reviews,2015,10,CD011902,,,,20,10.1002/14651858.CD011902,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986613357&doi=10.1002%2f14651858.CD011902&partnerID=40&md5=c134be551c0c1237d1e0a374369eb936,Article,Final,,Scopus,2-s2.0-84986613357
Chu S.; Jing H.; Liang L.; Li J.,"Chu, Shuilian (40261226400); Jing, Hang (55356585100); Liang, Lirong (59089406900); Li, Jun (59704782000)",40261226400; 55356585100; 59089406900; 59704782000,"Development of a theoretical framework based on the MAPR model for stage-based, individualized mobile smoking cessation interventions through systematic literature review and expert consultation; [基于 MAPR 模型构建分期个体化移动戒烟干预理论框架]",2024,Chinese Journal of Public Health,40,10,,1249,1253,4,0,10.11847/zgggws1144459,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000715078&doi=10.11847%2fzgggws1144459&partnerID=40&md5=b58050ab2bf99637de12e84ef481dc22,Article,Final,,Scopus,2-s2.0-105000715078
Nicolosi F.; Pessina F.; Gelmi C.A.E.; Belotti F.; Mahoney D.E.; Agosti E.; Serioli S.; Saraceno G.; Dimitrov A.; Rossini Z.; Spena G.,"Nicolosi, Federico (6701626208); Pessina, Federico (41662187700); Gelmi, Clarissa Ann Elisabeth (57200915229); Belotti, Francesco (56016707800); Mahoney, Dominic Edward (57210560785); Agosti, Edoardo (57212107694); Serioli, Simona (57209638295); Saraceno, Giorgio (57212111916); Dimitrov, Anatoli (57538996500); Rossini, Zefferino (55537977300); Spena, Giannantonio (25926729500)",6701626208; 41662187700; 57200915229; 56016707800; 57210560785; 57212107694; 57209638295; 57212111916; 57538996500; 55537977300; 25926729500,New neuroanatomy learning paradigms for the next generation of trainees: A novel literature-based 3D methodology,2021,Clinical Neurology and Neurosurgery,210,,106948,,,,12,10.1016/j.clineuro.2021.106948,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116365976&doi=10.1016%2fj.clineuro.2021.106948&partnerID=40&md5=097c0955c0c7ea427a3a709fd7f9ad3d,Review,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85116365976
El Aoufy K.; Melis M.R.; Magi C.E.; Bellando-Randone S.; Tamburini M.; Bandini G.; Moggi-Pignone A.; Matucci-Cerinic M.; Bambi S.; Rasero L.,"El Aoufy, Khadija (57189714803); Melis, Maria Ramona (57324810600); Magi, Camilla Elena (58517056400); Bellando-Randone, Silvia (35218795900); Tamburini, Matteo (59212119800); Bandini, Giulia (57201071664); Moggi-Pignone, Alberto (7003607732); Matucci-Cerinic, Marco (7005642558); Bambi, Stefano (23466230400); Rasero, Laura (6601986831)",57189714803; 57324810600; 58517056400; 35218795900; 59212119800; 57201071664; 7003607732; 7005642558; 23466230400; 6601986831,Evidence for telemedicine heterogeneity in rheumatic and musculoskeletal diseases care: a scoping review,2024,Clinical Rheumatology,43,9,,2721,2763,42,2,10.1007/s10067-024-07052-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198077484&doi=10.1007%2fs10067-024-07052-w&partnerID=40&md5=0d27030367d1715fdc34ad328ab7e93e,Review,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85198077484
Ferguson C.; Wynne R.; Inglis S.C.,"Ferguson, Caleb (54412185400); Wynne, Rochelle (7006200020); Inglis, Sally C (13105834400)",54412185400; 7006200020; 13105834400,Wearable cardiac monitoring using smart-devices for the detection of atrial fibrillation in adults,2021,Cochrane Database of Systematic Reviews,2021,7,CD014629,,,,2,10.1002/14651858.CD014629,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110485092&doi=10.1002%2f14651858.CD014629&partnerID=40&md5=a9e8bc1a824bca5105a238ac68bf853c,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85110485092
Bezerra A.; Fontão A.; Dias-Neto A.,"Bezerra, Allan (56326225300); Fontão, Awdren (36598185300); Dias-Neto, Arilo (26430898300)",56326225300; 36598185300; 26430898300,"Simulation of mobile software ecosystems: State of the art, challenges and opportunities; [Simulação de ecossistemas de software móvel: Estado da arte, desafios e oportunidades]",2016,CIBSE 2016 - XIX Ibero-American Conference on Software Engineering,,,,129,142,13,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988433534&partnerID=40&md5=028a23d5f55e0ab768c200f9422c476c,Conference paper,Final,,Scopus,2-s2.0-84988433534
Falco M.; Robiolo G.,"Falco, Mariana (57205340116); Robiolo, Gabriela (23668769500)",57205340116; 23668769500,Tendencies in Multi-Agent Systems: A Systematic Literature Review,2020,CLEI Eletronic Journal (CLEIej),23,1,,,,,3,10.19153/cleiej.23.1.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150619583&doi=10.19153%2fcleiej.23.1.1&partnerID=40&md5=927da0845f513c9e9aebd5e198c5708a,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85150619583
Beninger P.; Ibara M.A.,"Beninger, Paul (57189634270); Ibara, Michael A. (6507083400)",57189634270; 6507083400,Pharmacovigilance and Biomedical Informatics: A Model for Future Development,2016,Clinical Therapeutics,38,12,,2514,2525,11,43,10.1016/j.clinthera.2016.11.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006251991&doi=10.1016%2fj.clinthera.2016.11.006&partnerID=40&md5=f02bf4236e1f979d6d92583ab238a9af,Article,Final,,Scopus,2-s2.0-85006251991
Whittaker R.; Mcrobbie H.; Bullen C.; Rodgers A.; Gu Y.,"Whittaker, Robyn (24077997200); Mcrobbie, Hayden (55931074900); Bullen, Chris (56560797800); Rodgers, Anthony (55585900000); Gu, Yulong (18434078400)",24077997200; 55931074900; 56560797800; 55585900000; 18434078400,Mobile phone-based interventions for smoking cessation,2016,Cochrane Database of Systematic Reviews,2016,4,CD006611,,,,288,10.1002/14651858.CD006611.pub4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962903699&doi=10.1002%2f14651858.CD006611.pub4&partnerID=40&md5=7dc20a4df18c4242a3104e8926a439f7,Review,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84962903699
Schorr E.N.; Gepner A.D.; Dolansky M.A.; Forman D.E.; Park L.G.; Petersen K.S.; Still C.H.; Wang T.Y.; Wenger N.K.,"Schorr, Erica N. (48161859600); Gepner, Adam D. (12142211700); Dolansky, Mary A. (6506518933); Forman, Daniel E. (7101730048); Park, Linda G. (55948141600); Petersen, Kristina S. (55922570800); Still, Carolyn H. (56800257100); Wang, Tracy Y. (35316433700); Wenger, Nanette K. (57203252009)",48161859600; 12142211700; 6506518933; 7101730048; 55948141600; 55922570800; 56800257100; 35316433700; 57203252009,Harnessing Mobile Health Technology for Secondary Cardiovascular Disease Prevention in Older Adults: A Scientific Statement From the American Heart Association,2021,Circulation: Cardiovascular Quality and Outcomes,14,5,,E000103,,,57,10.1161/HCQ.0000000000000103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106153308&doi=10.1161%2fHCQ.0000000000000103&partnerID=40&md5=ac6470b82c6279dbc928885827cfa0b8,Review,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85106153308
Deng N.; He H.; Wang Y.; Zhang X.,"Deng, Nan (57200395422); He, Hong (55483696300); Wang, Ya (57201911444); Zhang, Xiaoyi (57200388529)",57200395422; 55483696300; 57201911444; 57200388529,Effects of mobile phone management applications for biological and biochemical parameters in patients with type 2 diabetes mellitus: A meta-analysis,2017,Chinese Journal of Evidence-Based Medicine,17,10,,1167,1173,6,1,10.7507/1672-2531.201704096,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050771278&doi=10.7507%2f1672-2531.201704096&partnerID=40&md5=3677d58591aa1b57a845f99e32e72217,Article,Final,,Scopus,2-s2.0-85050771278
Bibault J.-E.; Chaix B.; Nectoux P.; Pienkowsky A.; Guillemasse A.; Brouard B.,"Bibault, Jean-Emmanuel (26634877600); Chaix, Benjamin (57204024025); Nectoux, Pierre (57209327538); Pienkowsky, Arthur (57210741139); Guillemasse, Arthur (57209328221); Brouard, Benoît (56538285800)",26634877600; 57204024025; 57209327538; 57210741139; 57209328221; 56538285800,Healthcare ex Machina: Are conversational agents ready for prime time in oncology?,2019,Clinical and Translational Radiation Oncology,16,,,55,59,4,59,10.1016/j.ctro.2019.04.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071354754&doi=10.1016%2fj.ctro.2019.04.002&partnerID=40&md5=4320148e7d180b3a36e815d6e2cb73e7,Review,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85071354754
Gharti P.,"Gharti, Padam (57222522432)",57222522432,A study of fall detection monitoring system for elderly people through IOT and mobile based application devices in indoor environment,2020,"CITISIA 2020 - IEEE Conference on Innovative Technologies in Intelligent Systems and Industrial Applications, Proceedings",,,9371773,,,,11,10.1109/CITISIA50690.2020.9371773,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103005882&doi=10.1109%2fCITISIA50690.2020.9371773&partnerID=40&md5=f5f2eeea90e5d373c2df6e247f8aff98,Conference paper,Final,,Scopus,2-s2.0-85103005882
Zhang Y.; Ma M.; Tian C.; Liu J.; Huang X.; Duan Z.; Zhang X.; Sun S.; Zhang Q.; Geng B.,"Zhang, Yuji (59146931700); Ma, Ming (57777004900); Tian, Cong (58487404500); Liu, Jinmin (57564723900); Huang, Xingchun (59367737500); Duan, Zhenkun (59367570500); Zhang, Xianxu (59219427300); Sun, Song (59367899000); Zhang, Qiang (59368536200); Geng, Bin (57206166633)",59146931700; 57777004900; 58487404500; 57564723900; 59367737500; 59367570500; 59219427300; 59367899000; 59368536200; 57206166633,Current status and dilemmas of osteoporosis screening tools: A narrative review,2024,Clinical Nutrition ESPEN,64,,,207,214,7,0,10.1016/j.clnesp.2024.10.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206434616&doi=10.1016%2fj.clnesp.2024.10.001&partnerID=40&md5=36e6ce2531c5b8f1cfd4914f92042389,Review,Final,,Scopus,2-s2.0-85206434616
Chan A.; De Simoni A.; Wileman V.; Holliday L.; Chisari C.; Newby C.J.; Griffiths C.J.; Ali S.; Padakanti P.; Zhu N.; Ting V.; Pinprachanan V.,"Chan, Amy (55337510300); De Simoni, Anna (57200327390); Wileman, Vari (54392308600); Holliday, Lois (57202311851); Chisari, Claudia (57192696615); Newby, Chris J (55864483000); Griffiths, Chris J (55228809500); Ali, Sana (57740376300); Padakanti, Prathima (57740270500); Zhu, Natalee (57740376400); Ting, Victoria (57740195700); Pinprachanan, Vasita (57740120500)",55337510300; 57200327390; 54392308600; 57202311851; 57192696615; 55864483000; 55228809500; 57740376300; 57740270500; 57740376400; 57740195700; 57740120500,Digital interventions to improve adherence to maintenance medication in asthma,2022,Cochrane Database of Systematic Reviews,2022,6,CD013030,,,,45,10.1002/14651858.CD013030.pub2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131903077&doi=10.1002%2f14651858.CD013030.pub2&partnerID=40&md5=772b496d56d8fcd4fac283f0594bc896,Review,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85131903077
Smith S.; Calthorpe R.; Herbert S.; Smyth A.R.,"Smith, Sherie (57199389435); Calthorpe, Rebecca (57211239264); Herbert, Sophie (57211942493); Smyth, Alan R (7103344712)",57199389435; 57211239264; 57211942493; 7103344712,Digital technology for monitoring adherence to inhaled therapies in people with cystic fibrosis,2023,Cochrane Database of Systematic Reviews,2023,2,CD013733,,,,3,10.1002/14651858.CD013733.pub2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147318625&doi=10.1002%2f14651858.CD013733.pub2&partnerID=40&md5=2f0d7ac009168e54e4b16d4cd06448ba,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85147318625
Vasudevan L.; Henschke N.; Glenton C.; Lewin S.; Maayan N.; Eyers J.; Fønhus M.S.; Tamrat T.; Mehl G.L.,"Vasudevan, Lavanya (8369232800); Henschke, Nicholas (6505683732); Glenton, Claire (6506532574); Lewin, Simon (56875855400); Maayan, Nicola (37051056200); Eyers, John (20634037400); Fønhus, Marita S. (27267649100); Tamrat, Tigest (40462702800); Mehl, Garrett L. (55312991800)",8369232800; 6505683732; 6506532574; 56875855400; 37051056200; 20634037400; 27267649100; 40462702800; 55312991800,Birth and death notification via mobile devices,2018,Cochrane Database of Systematic Reviews,2018,1,CD012909,,,,6,10.1002/14651858.CD012909,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039995654&doi=10.1002%2f14651858.CD012909&partnerID=40&md5=6db6dbeb0d7e63474067bc7305d16c09,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85039995654
Stiles-Shields C.; Keefer L.,"Stiles-Shields, Colleen (49362177300); Keefer, Laurie (7005599203)",49362177300; 7005599203,Web-based interventions for ulcerative colitis and Crohn’s disease: Systematic review and future directions,2015,Clinical and Experimental Gastroenterology,8,,,149,157,8,10,10.2147/CEG.S56069,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936942446&doi=10.2147%2fCEG.S56069&partnerID=40&md5=9ead7c8dc0fe611e3b484f8c58465e85,Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-84936942446
Lopes S.V.; Jerônimo J.S.; Borchardt J.; Häfele V.; Siqueira F.V.; da Silva M.C.,"Lopes, Samuel Völz (56963489600); Jerônimo, Jeferson Santos (56498813200); Borchardt, Jenifer (57207579604); Häfele, Vítor (57208631672); Siqueira, Fernando Vinholes (35589163600); da Silva, Marcelo Cozzensa (13008559300)",56963489600; 56498813200; 57207579604; 57208631672; 35589163600; 13008559300,Interventions with physical activity counseling for adults without diagnosed diseases – a systematic review; [Intervenção com aconselhamento de atividade física para adultos sem doenças diagnosticadas – uma revisão sistemática],2022,Ciencia e Saude Coletiva,27,6,,2225,2240,15,1,10.1590/1413-81232022276.20252021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131270431&doi=10.1590%2f1413-81232022276.20252021&partnerID=40&md5=9dee55c6d94e77835fadd16f8065443a,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85131270431
Wong C.-H.; Smith S.; Kansra S.,"Wong, Chu-Hai (57223883446); Smith, Sherie (57199389435); Kansra, Sonal (15754274100)",57223883446; 57199389435; 15754274100,Digital technology for early identification of exacerbations in people with cystic fibrosis,2021,Cochrane Database of Systematic Reviews,2021,9,CD014606,,,,2,10.1002/14651858.CD014606,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115826111&doi=10.1002%2f14651858.CD014606&partnerID=40&md5=b7bcbeb366b5d1ff7c5811c0e594bd54,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85115826111
Chou Y.-H.; Lin C.; Lee S.-H.; Chien Y.-W.C.; Cheng L.-C.,"Chou, Ya-Hsin (57193170559); Lin, Chemin (55207511500); Lee, Shwu-Hua (22235149100); Chien, Ya-Wen Chang (58618542400); Cheng, Li-Chen (27169815300)",57193170559; 55207511500; 22235149100; 58618542400; 27169815300,Potential Mobile Health Applications for Improving the Mental Health of the Elderly: A Systematic Review,2023,Clinical Interventions in Aging,18,,,1523,1534,11,14,10.2147/CIA.S410396,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171900829&doi=10.2147%2fCIA.S410396&partnerID=40&md5=8fd892caf786a28bce665e66ffa5314e,Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85171900829
Ascate S.M.; Oliveira K.; Mendes I.; Fontão A.; Villanes I.K.; Dias-Neto A.,"Ascate, Silvia M. (57195259147); Oliveira, Kariny (57195260255); Mendes, Ingrid (57191253186); Fontão, Awdren (36598185300); Villanes, Isabel K. (57189593324); Dias-Neto, Arilo (26430898300)",57195259147; 57195260255; 57191253186; 36598185300; 57189593324; 26430898300,Model-based testing for mobile applications: A systematic mapping study,2017,CIbSE 2017 - XX Ibero-American Conference on Software Engineering,,,,71,84,13,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026680032&partnerID=40&md5=168eff058da486e47d037b81d9b49fee,Conference paper,Final,,Scopus,2-s2.0-85026680032
Syahrul S.; Irwan A.M.; Saleh A.; Syam Y.; Fiqri A.M.; Jannah St.N.,"Syahrul, Syahrul (57188828353); Irwan, Andi Masyitha (57190430520); Saleh, Ariyanti (57192554403); Syam, Yuliana (57193342137); Fiqri, Andi Muhammad (57759115600); Jannah, St. Nurfatul (59398647300)",57188828353; 57190430520; 57192554403; 57193342137; 57759115600; 59398647300,Effectiveness of Mobile Application–Based Intervention on Medication Adherence Among Pulmonary Tuberculosis Patients A Systematic Review,2024,CIN - Computers Informatics Nursing,43,4,,,,,0,10.1097/CIN.0000000000001213,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208384441&doi=10.1097%2fCIN.0000000000001213&partnerID=40&md5=b030871d7518ec800a102e1e770880ce,Review,Final,,Scopus,2-s2.0-85208384441
Fan J.-Y.; Li J.-M.; Duan C.-Y.; Zhao Q.; Guo Y.-F.,"Fan, Jun-Ying (57886426300); Li, Jin-Mei (58311369400); Duan, Chao-Yang (59697654900); Zhao, Qing (59495392500); Guo, Yu-Fang (56543847100)",57886426300; 58311369400; 59697654900; 59495392500; 56543847100,Utilization and Influencing Factors of Mobile Health Applications in Diabetes Management: An Integrative Review,2025,CIN - Computers Informatics Nursing,,,,,,,0,10.1097/CIN.0000000000001268,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000252771&doi=10.1097%2fCIN.0000000000001268&partnerID=40&md5=a607ddeaef3f11811384504cd518a06d,Review,Article in press,,Scopus,2-s2.0-105000252771
Odendaal W.A.; Anstey Watkins J.; Leon N.; Goudge J.; Griffiths F.; Tomlinson M.; Daniels K.,"Odendaal, Willem A (36742120200); Anstey Watkins, Jocelyn (57200221030); Leon, Natalie (35574183800); Goudge, Jane (8642393600); Griffiths, Frances (7006600564); Tomlinson, Mark (57203053013); Daniels, Karen (23033804400)",36742120200; 57200221030; 35574183800; 8642393600; 7006600564; 57203053013; 23033804400,Health workers’ perceptions and experiences of using mHealth technologies to deliver primary healthcare services: a qualitative evidence synthesis,2020,Cochrane Database of Systematic Reviews,2020,3,CD011942,,,,133,10.1002/14651858.CD011942.pub2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082520204&doi=10.1002%2f14651858.CD011942.pub2&partnerID=40&md5=38d74b1af9df5298568e687bd24f5c53,Review,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85082520204
Hermans A.N.L.; Gawalko M.; Dohmen L.; van der Velden R.M.J.; Betz K.; Duncker D.; Verhaert D.V.M.; Heidbuchel H.; Svennberg E.; Neubeck L.; Eckstein J.; Lane D.A.; Lip G.Y.H.; Crijns H.J.G.M.; Sanders P.; Hendriks J.M.; Pluymaekers N.A.H.A.; Linz D.,"Hermans, Astrid N. L. (57212064459); Gawalko, Monika (57196375496); Dohmen, Lisa (57264407300); van der Velden, Rachel M. J. (57203899023); Betz, Konstanze (57209978653); Duncker, David (36090817400); Verhaert, Dominique V. M. (56967955100); Heidbuchel, Hein (7004984289); Svennberg, Emma (55531584500); Neubeck, Lis (25628207400); Eckstein, Jens (35925370700); Lane, Deirdre A. (57203229915); Lip, Gregory Y. H. (57216675273); Crijns, Harry J. G. M. (36079203000); Sanders, Prashanthan (7201703192); Hendriks, Jeroen M. (35302139800); Pluymaekers, Nikki A. H. A. (57190577612); Linz, Dominik (16233517500)",57212064459; 57196375496; 57264407300; 57203899023; 57209978653; 36090817400; 56967955100; 7004984289; 55531584500; 25628207400; 35925370700; 57203229915; 57216675273; 36079203000; 7201703192; 35302139800; 57190577612; 16233517500,Mobile health solutions for atrial fibrillation detection and management: a systematic review,2022,Clinical Research in Cardiology,111,5,,479,491,12,54,10.1007/s00392-021-01941-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115212124&doi=10.1007%2fs00392-021-01941-9&partnerID=40&md5=b8c9434093dd927ee8baef5af96d0921,Review,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85115212124
Smith S.; Calthorpe R.; Herbert S.; Smyth A.R.,"Smith, Sherie (57199389435); Calthorpe, Rebecca (57211239264); Herbert, Sophie (57211942493); Smyth, Alan R (7103344712)",57199389435; 57211239264; 57211942493; 7103344712,Digital technology for monitoring adherence to inhaled therapies in people with cystic fibrosis,2020,Cochrane Database of Systematic Reviews,2020,9,CD013733,,,,8,10.1002/14651858.CD013733,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091035408&doi=10.1002%2f14651858.CD013733&partnerID=40&md5=84a5159c804eac60eed628198fb0eb95,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85091035408
Valentine A.Z.; Brown B.J.; Groom M.J.; Young E.; Hollis C.; Hall C.L.,"Valentine, Althea Z. (36197442600); Brown, Beverley J. (57195504172); Groom, Madeleine J. (23049653500); Young, Emma (57218189178); Hollis, Chris (7006624553); Hall, Charlotte L. (55611918600)",36197442600; 57195504172; 23049653500; 57218189178; 7006624553; 55611918600,"A systematic review evaluating the implementation of technologies to assess, monitor and treat neurodevelopmental disorders: A map of the current evidence",2020,Clinical Psychology Review,80,,101870,,,,74,10.1016/j.cpr.2020.101870,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088403891&doi=10.1016%2fj.cpr.2020.101870&partnerID=40&md5=9d594e637706407f5780a4906d507530,Review,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85088403891
Chuchu N.; Takwoingi Y.; Dinnes J.; Matin R.N.; Bassett O.; Moreau J.F.; Bayliss S.E.; Davenport C.; Godfrey K.; O'connell S.; Jain A.; Walter F.M.; Deeks J.J.; Williams H.C.,"Chuchu, Naomi (57195507595); Takwoingi, Yemisi (57205105485); Dinnes, Jacqueline (8780114700); Matin, Rubeta N. (15760199600); Bassett, Oliver (57204940675); Moreau, Jacqueline F. (55668781900); Bayliss, Susan E. (35510212300); Davenport, Clare (7005925668); Godfrey, Kathie (57190388618); O'connell, Susan (57216350331); Jain, Abhilash (7404463944); Walter, Fiona M. (7103067740); Deeks, Jonathan J. (7006087510); Williams, Hywel C. (23500447000)",57195507595; 57205105485; 8780114700; 15760199600; 57204940675; 55668781900; 35510212300; 7005925668; 57190388618; 57216350331; 7404463944; 7103067740; 7006087510; 23500447000,Smartphone applications for triaging adults with skin lesions that are suspicious for melanoma,2018,Cochrane Database of Systematic Reviews,2018,12,CD013192,,,,111,10.1002/14651858.CD013192,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058010661&doi=10.1002%2f14651858.CD013192&partnerID=40&md5=327dd6b78aadaf805f7df1700e9dd9c8,Review,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85058010661
Kelley M.M.; Kue J.; Brophy L.; Peabody A.L.; Foraker R.E.; Yen P.-Y.; Tucker S.,"Kelley, Marjorie M. (15826519400); Kue, Jennifer (35102475700); Brophy, Lynne (57263857700); Peabody, Andrea L. (57023746100); Foraker, Randi E. (8621791900); Yen, Po-Yin (26434472400); Tucker, Sharon (7202408693)",15826519400; 35102475700; 57263857700; 57023746100; 8621791900; 26434472400; 7202408693,"Mobile Health Applications, Cancer Survivors, and Lifestyle Modification: An Integrative Review",2021,CIN - Computers Informatics Nursing,39,11,,755,763,8,15,10.1097/CIN.0000000000000781,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121951902&doi=10.1097%2fCIN.0000000000000781&partnerID=40&md5=3860ada07b42479b40a6e3765e4bbbd8,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85121951902
Paiva M.C.; Castro A.A.M.; Carvalho P.F.; Sales W.B.; Oliveira I.C.S.; Mourão M.N.; Maciel Á.C.C.; Souza G.F.,"Paiva, Marília Costa (58984478000); Castro, Antonio A.M. (25228365300); Carvalho, Polyagna Ferreira (58983822000); Sales, Weslley Barbosa (57929654400); Oliveira, Isabelly Cristina Soares (57791887400); Mourão, Maryela Neves (58983654300); Maciel, Álvaro Campos Cavalcanti (57222604841); Souza, Gérson Fonseca (57723015300)",58984478000; 25228365300; 58983822000; 57929654400; 57791887400; 58983654300; 57222604841; 57723015300,Effectiveness of Cardiac Rehabilitation With mHealth Through Smartphone Functionalities: A Systematic Review Protocol,2024,CJC Open,6,4,,672,676,4,3,10.1016/j.cjco.2023.02.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185109900&doi=10.1016%2fj.cjco.2023.02.001&partnerID=40&md5=e5dd23692ffcd08ec9564511a302f9e8,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85185109900
Wang B.; Li Y.; Wang Y.; He L.; Zhao Y.,"Wang, Bojun (58398319500); Li, Yujing (58395985100); Wang, Yixin (58395985200); He, Li (57211831639); Zhao, Yang (58396760700)",58398319500; 58395985100; 58395985200; 57211831639; 58396760700,Current situation and effect evaluation of mobile applications for physical activity management in China; [我国身体活动管理类移动应用程序现况与效果评价],2023,Chinese Journal of Health Management,17,3,,222,227,5,0,10.3760/cma.j.cn115624-20230111-00024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163328495&doi=10.3760%2fcma.j.cn115624-20230111-00024&partnerID=40&md5=ed97b59a438fb5c22aac997addc4cbc9,Review,Final,,Scopus,2-s2.0-85163328495
